,teks,label
0,promo beli paket flash gb my telkomsel app extra kuota gb lte extra telpon mnthr buru cek tselmemytsel sk,2
1,gb rupiah ribu spesial pilih aktif promo sd november buru aktif sk,2
2,pulang hormat sisa kuota flash kb download mytelkomsel apps cek kuotabeli paket flash hubung,2
3,pulang hormat sisa kuota flash kb download mytelkomsel apps cek kuotabeli paket flash hubung,2
4,gb rupiah ribu spesial pilih aktif buru skb,2
5,ekstra pulsa rb beli paket internet bulan mytelkomsel beli sjk augsept cek detail promo tselmemytsel,2
6,iring tarif rupiah panjang rupiah hits armada curi hati tekan okcall informasi,2
7,eks loh internetan pakai volume ultima mbhr harga rupiah rb tariflokasi cek tselmefl,2
8,aktif iring coboy jr hebat tekan informasi hits baru noah engkau aktif iring nya hp ketik mg noah kirim informasi berkah iring rupiah yuni shara aktif iring nya tkn okcall raih thr puluhanjt henti unreg,2
9,ambil bonus hari bebas pulsa dptkan gratis telpon internetan promo sesuai hobi,2
10,henti langgan paket flash ketik flashspasiya tuju tunggu sms konfirmasi nonaktif paket,2
11,langgan paket rupiah mbak mbak ghari tuju balas flashspasiya kirim lanjut paket panjang aktif tarif sesuai lokasi tunggu sms konfirmasi pakai informasi zona detail tarif lihat tselmeinternet,2
12,beli paket gampang internetan rupiah chatting puas bbm whatsapp line harijika tuju balas flashspasiya kirim melanjutkantunggu sms konfirmasi pemakaianinfo detail tariff lihat tselmeinternet,2
13,terima setting ponsel ponsel akses internet kirim fotomms tuju balas pesan gratis ketik y,2
14,aktif paket bbm gratis laku kali aktivasi ketik flash spasi ya lanjut,2
15,kupon program kartu as biber beli internet hadiah cek total kupon maksimal x jam informasi lengkap hubung,2
16,nikmat paket reguler sisa kuota kbdapatkan agam paket internet hemat tri,2
17,daftar layan paket malam langgan laku isi ulang voucher kenyang download,2
18,tukar poin poin tukar poin menang hadih gb menang tukar poin tinggi sd november,2
19,angpaopoinsenyum dptkan vchr lottemart rb tukar poin normal poin sd feb ketik batas informasi,2
20,nya eks internetan pakai volume ultima mbhr harga rupiah rb tariflokasi cek tselmefl,2
21,ayam sayappaha nasi perkedel rupiah gratis teh pucuk tukar sms cfc hasan sadikin sedia promo,2
22,ayo anak medan beli stiker line pulsa klik nama stickernya dan medan,2
23,ayo download axisnet appleplay store aktif bronetjam gb rupiah bronetjam gb obor gb rupiah informasi ld,2
24,ayo download axisnet playapple store aktif bronetjam gb rupiah bronetjam gb obor gb rupiah informasi ld,2
25,ayo dukung lestari alam indonesia indosat ooredoo wwfindonesia donasi nomor indosat ooredoo,2
26,ayo kawal manfaat subsidi bbm kompensasi hak adu ketik bbm spasi isi pesan kirim,2
27,banting harga internetan kuota gb rb rupiah paket laku bulan ketik ya sd desember,2
28,bebas ekspresi diri paket freedom combo indosat ooredoo hubung,2
29,bebas pulsa ambil bonus gratis dptkan gratis telpon internetas promo sesuai hobi,2
30,beli gratis lychee tea latte flavour yellow truck jlpatuha nomor tukar sms laku sk berlakupromo,2
31,beli gratis beli diskon tiket kampung gajah wonderland bandung sd mei tunjuk sms tugas informasi,2
32,beli gratis donut dunkin donuts borma setiabudhi tukar sms laku sedia promo,2
33,beli paket turbo rb beli mytelkomsel app sjk aug september extra pulsa tsel rupiah rb loh cek detail paket tselmemytsel,2
34,internetan gb rb paket laku ketik ya tawar laku sd januari,2
35,bonus kuota mbak isi ulang min ayo buru isi pulsa t,2
36,bonus pulsa rb ayo isi pulsa min rb dapetkan bonus pulsa rb telpon nomor tri ayo buru isi pulsa t,2
37,bonus pulsa indosat ooredoo ketik telepon hp april,2
38,bonus pulsa rb isi ulang rb indosat tawar laku sd april bonus x indosat ooredoo,2
39,bonus pulsa rupiah rb spesial langgan setia indosat ooredohanya isi ulang rprb tawar laku sd jan bonus x,2
40,bonus rupiah kirim sms x bonus khusus t,2
41,bonus rupiah telepon teman menit bonus khusus a,2
42,bukti hemat pakai argo bandung grabcar hayu aja rencang bareng buktikeun nyalira,2
43,buru download registrasi mycare dapat promo gb paket freedoom m l harga khusus,2
44,butuh piknikada nih libur gratis hongkongcarapake pulsa axis hp androidmu transaksi banyak items pokemon gobigococ dllinfo ld,2
45,buy get tiket trans studio bandungmulai meijuni tunjuk sms tugas lokasi informasi,2
46,rupiah telpon sms unlimited indosat ooredoo internetan puas paket ramadhan unlimited ketik,2
47,dapat bonus pulsa hg rb isi ulang minggu isi ulang rb gratis kirim pandu ketik pan kirim cek bonus tekan,2
48,dapat bonus sms kirim sms bonus ratus sms operator pakai indosat ooredoo raih bebas komunikasi,2
49,dapat disc mcdonalds khusus bayar tcash tapdptkan stiker tcash tap grapari dekat informasi tselmetappromo,2
50,dapat disc dominos pan pizzaroti tebal keju pinggirmulai rpkunjungi toko terdekattelf klik panpizzacoid,2
51,dapat extra kuota gb lte extra telpon mnthr beli paket flash gb my telkomsel app buru cek tselmemytsel sk,2
52,dapat gratis cappuccino hotice freza transaksi min rprb excelso cafe semarang yogya solo sd agust tunjuk sms tugas,2
53,dapat gratis wendys crispy chicken sandwich minimal beli rupiah tukar sms wendys dekat sedia batas promo,2
54,dapat saldo main rupiah rb bayar rupiah rb laku seninkamis tukar sms timezone dekat promo,2
55,dapat voucher cipika rupiah rb belanja kuliner gadget fashion lain tkn pilih cipika gratis batas informasi,2
56,dear customer kindly values your experience at telkomsel servis score very poor excellent kirim sms free intl charged,2
57,disc dominos pizza value range sd agustuskunjungi store terdekathubungi visit kodevrd,2
58,diskon ribu khusus langgan grab bandung laku x kode promo urangbandung repot jalan macet susah parkir hayu ngegrab we atuh,2
59,diskon kuota telpon menit operator rprb normal rprb aktif balas sms ketik tri v,2
60,diskon kacamata lengkap bonus kacamata hitam tunjuk sms jalan gatot soebroto t sampk berlakupromo,2
61,dominos pan pizzarotinya tebal keju pinggir nikmat disc rpkunjungi toko terdekattelf klik panpizzacoid,2
62,double kuota internet plus unlimited telepon sms paket freedom combo indosat ooredoo hubung,2
63,download rasa seru gamegame premium pilih,2
64,dptkn free member card larissa aesthetic center disc high treatment asuransi jiwa isi ulang pulsa rupiah rb galeri indosat jawa diy sd des,2
65,dptkn sempat raih hadiah utama mobil alphard tukar poin senyum kupon undi sd tanggal junketik undi poin rupiah,2
66,dukung rehabilitasi kembang potensi anak butuh khusus ypac jakarta mari bagi sms donasi etik,2
67,flash promo sd agt ayo datang gallery smartfren dekat diskon rb tukar hp smartfrenmu andromax lte tukar mifi lte,2
68,free doublescoop ice cream disc haagendasz tcash tap sk laku informasi tselmetappromo,2
69,gratis gb ganti kartu sim sim tukar gerai indosatooredoo dekat nikmat gratis gb jaring,2
70,gratis telpon mana operator beli internet hari mbak harga rupiah balas sms ketik js beli n,2
71,gratis whatsapp hari beli internet hari mbak harga rupiah balas sms ketik jr beli n,2
72,grab nikmat diskon x guna masuk kode cobagrabcar ajak temantemanmu keliling bandung tanp,2
73,grabcar grabtaxi dapat diskon ribu stasiunbandara bandung masuk kode promo grabtravel pakai september hatur nuhun,2
74,tcash bayar tagih listrik beli token listrik hubung pilih menu bayar beli,2
75,hai kabar bonus riah isi pulsa minimun rupiah ribu sd november langsung dapat mbak gratis ayo isi pulsa bonus rla,2
76,hallo bro beli koin games pakai pulsa yuk mudah banget loh sob cek,2
77,hallo urang mang ado stiker rancak group line urang kampuang mang guy beli pakai pulsa telkomsel,2
78,freedom combo xl rupiah rb normal rupiah rb gb musik streaming pakai kuota unlimited nelpsms daftar,2
79,ribu langsung mbak balas sms ketik ya buru beli sekrang tlb,2
80,freedom combo xl rprb normal rprb double kuota gbgbg promo gbg unlimited telpon sms indosat ooredoo ketik freedom xl,2
81,bronet jam gb rupiah bronetspecial gb gb jamgb rupiah aktif paket informasi ld,2
82,bronet special gb gb jamgb rupiah bronet jam gb rupiah ayo aktif paket informasi ld,2
83,rabu blanja blanjacom nikmat diskon spesial transaksi tcash sk laku klik bljcotcashrabu,2
84,senin nonton hemat ribu cema xxi tcash tap dptkan stiker tcash tap grapari dekat informasi tselmetappromo,2
85,kunjung galeri smartfren andromax a rb nrml rb tunggu lagistok terbatassd agtskinfodlj,2
86,hayu mumpung ustad fatih karimbeliau islam ustad felix siaw,2
87,hi ayo coba grab mesan taxi cepat aman klik,2
88,hot promo dptkan extra pulsa tsel rb beli paket internet kali my telkomsel app sjk agsts september cek detail paket tselmemytsel,2
89,hot promo internetan kuota gbhr rupiah ribu beli promo sd juni sk,2
90,im spreading the gojek love download the gojek app at and input this referral code get rupiah free credit your first booking gojekgotmehere,2
91,ikut jobfairactive ujiklyakankerjaberstifikat plasatelkommlg feb dptkan platihan intrviewrekom kerja ribu ph informasi,2
92,internetan puas butuh kuota paket sumo gb jaring beli informasi d,2
93,isi saldo tcashmu jaring atm atm bca laku transfer bank pilih bank tcash kode bank nomor hp nomor rekening tuju,2
94,isi ulang kuota gb hasil kuota nikmat bonus telpon tri rprb cek bonus bimatri,2
95,isi ulang rupiah hasil kode transaksi cek promo rabu rawit jumat langgan axis,2
96,jalan ibadah haji nyaman ganti kartu lokalnikmati gratis menithr trima telepon indosatooredoointernet unlimited rprbhariinfo pai,2
97,kejar diskon lari beli rawit diskon sendiriayo isi ulang kartu axis sekarangdan pasti besok ikut promo rabu rawitinfold,2
98,lupa kirim sms sd juni gratis sms sesame indosat laku x periode prog informasi us,2
99,kalah bro games mu bantu tambah koin beli pakai pulsa cek,2
100,habis baskin robbins value scoop lho tunjuk sms sk laku promo,2
101,jumat promo bronet jam gb rupiah bronet gb jam gb gb rupiah aktif paket infold,2
102,beli paket flash gb mytelkomsel extra pulsa rupiah rb beli sjk aug september cek detail paket tselmemytsel,2
103,langgan setia tukar hp smartfrenmu andromax e lte rbnrml rb galeri smartfren,2
104,kartu glte aktif dapat kuota tambah sd gbkonten tarik jaring hubung informasi lokasi,2
105,sempat langka loh dapat gb rupiah balas sms ketik y sd november bonus laku tld,2
106,ketik flashspasiinfo kirim status paket loopers dptkan informasi tren anak muda challenge beli paket loopcoid followloop id,2
107,ketik ya sd maret rprb perbln lgs dptkan gbgbonus gbg internetan telepon sms puas nomor,2
108,khusus doyan internetan rb k internetan slm minggu kuota gb buru ketik oke pnwrn sd khusus nomor,2
109,khusus paket internet ribu kuota gb laku jam jaring cepat indosat balas sms ketik ya sd mei,2
110,kocak habis lihat aksi pemuda galau iseng gokil kepung polisi super cantik tonton komik via hp cmn ketik film,2
111,koin tinggal lanjutin gamesmu beli pakai pulsa bro cek,2
112,kuota internet habis isi kuota akses aplikasi bimatri gadget informasi,2
113,hemat langgan paket data minggu rupiah gampang ketik kuotaspasik kirim sms,2
114,hemat langgan paket internet minggu kuota mbak rupiah gampang ketik kuota spasi k,2
115,line lets get rich seru koin pulsa mudah banget google play,2
116,loopers pakettelkomselflash rupiah mbak tambah mbak gbberlaku aktif paket otomatis panjang aktif langgan paket,2
117,maaf milik bonus kuota dapat bonus kuota gb toko dekat laku jawa timur bal lombok,2
118,main games mu beli koin pakai pulsa cek,2
119,main gamesmu beli banyak appsinapps google play store,2
120,warung kopi dki dapat nsp nya gratis akses dapat promo gratis sesuai hobi,2
121,bonus keren indosat ooredoo ketik hp,2
122,bonus pulsa indosat ooredoo ketik telepon hp mei,2
123,cepat ribet cek pulsa sisa kuota internetmu yuk download aplikasi mycare akses,2
